task_id,episodes,student_v2_successes,student_v2_rate,student_v3_successes,student_v3_rate,difference_successes,student_v3_only,student_v2_only,exact_mcnemar_p
0,50,32,0.64,36,0.72,4,8,4,0.3877
1,50,19,0.38,31,0.62,12,17,5,0.01690
2,50,19,0.38,38,0.76,19,22,3,0.000157
3,50,37,0.74,44,0.88,7,10,3,0.09229
4,50,25,0.50,27,0.54,2,7,5,0.7744
5,50,26,0.52,29,0.58,3,11,8,0.6476
6,50,20,0.40,37,0.74,17,19,2,0.000221
7,50,29,0.58,20,0.40,-9,3,12,0.03516
8,50,27,0.54,26,0.52,-1,7,8,1.0000
9,50,15,0.30,31,0.62,16,19,3,0.000855
